budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
16000000,4 Kids Entertainment,Japan,Kunihiko Yuyama,Animation,17052128,Pokémon 3: The Movie,G,06/04/2001,93,5.7,Rica Matsumoto,10090,Norman J. Grossfeld,2000
0,Daly-Harris Productions,USA,Del Shores,Comedy,1111273,Sordid Lives,R,11/05/2001,111,6.8,Delta Burke,2477,Del Shores,2000
50000000,Columbia Pictures Corporation,USA,Hugh Hudson,Adventure,6543194,I Dreamed of Africa,PG-13,05/05/2000,114,5.6,Kim Basinger,3933,Kuki Gallmann,2000
3000000,Miramax,USA,Lisa Krueger,Comedy,40361,Committed,R,14/07/2000,98,5.2,Heather Graham,3330,Lisa Krueger,2000
51000000,Castle Rock Entertainment,Canada,Antoine Fuqua,Action,15325127,Bait,R,15/09/2000,119,5.7,Jamie Foxx,9493,Andrew Scheinman,2000
15000000,Fox 2000 Pictures,USA,Mark Piznarski,Drama,10494147,Here on Earth,PG-13,24/03/2000,96,5.1,Chris Klein,7660,Michael Seitzman,2000
0,Arenafilm,Australia,Samantha Lang,Crime,45826,The Monkey's Mask,R,10/05/2001,93,5.1,Susie Porter,1346,Anne Kennedy,2000
4000000,Screen Gems,USA,Mike Figgis,Drama,945041,Timecode,R,28/04/2000,97,6.2,Jeanne Tripplehorn,6042,Mike Figgis,2000
0,Rosa Filmes,Portugal,João Pedro Rodrigues,Drama,125651,O Fantasma,UNRATED,20/10/2000,87,5.7,Ricardo Meneses,2379,João Pedro Rodrigues,2000
250000,Artisan Entertainment,USA,Miguel Arteta,Comedy,1050600,Chuck & Buck,R,04/08/2000,96,6.6,Mike White,4800,Mike White,2000
1000000,Myung Film Company Ltd.,South Korea,Ki-duk Kim,Drama,21075,The Isle,UNRATED,22/04/2000,90,7.1,Jung Suh,10866,Ki-duk Kim,2000
0,Asian Union Film & Entertainment,China,Wen Jiang,Comedy,18223,Devils on the Doorstep,Not specified,14/03/2001,139,8.3,Wen Jiang,5388,Wen Jiang,2000
25000000,Lakeshore Entertainment,USA,John Schlesinger,Comedy,14990582,The Next Best Thing,PG-13,03/03/2000,108,4.7,Madonna,9717,Tom Ropelewski,2000
0,Alliance Atlantis Communications,UK,Michael Winterbottom,Drama,669258,The Claim,R,02/02/2001,120,6.5,Wes Bentley,5448,Thomas Hardy,2000
